读者ID,ISBN,品类,年龄区间,性别,单次购买力区间,复购,购买日期
R94926,9780443699577,少儿,46-55,男,20-50,0,2025-02-01
R82551,9780443699577,少儿,26-35,男,20-50,0,2025-02-01
R15475,9780443699577,少儿,26-35,女,20-50,1,2025-02-01
R37752,9782148951343,少儿,26-35,男,20-50,0,2025-02-01
R77181,9782148951343,少儿,36-45,男,20-50,1,2025-02-01
R90856,9782148951343,少儿,26-35,女,20-50,0,2025-02-01
R17128,9783791769367,少儿,26-35,女,20-50,0,2025-02-01
R81939,9783791769367,少儿,26-35,女,20-50,0,2025-02-01
R48096,9783791769367,少儿,26-35,男,20-50,0,2025-02-01
R35875,9783791769367,少儿,18-25,女,20-50,0,2025-02-01
R53365,9783791769367,少儿,46-55,女,20-50,0,2025-02-01
R19149,9781632870831,少儿,46-55,男,20-50,0,2025-02-01
R69067,9781632870831,少儿,26-35,男,20-50,0,2025-02-01
R86568,9781632870831,少儿,36-45,女,20-50,1,2025-02-01
R51462,9781632870831,少儿,26-35,女,20-50,0,2025-02-01
R51053,9781632870831,少儿,36-45,女,20-50,1,2025-02-01
R27603,9787986872774,少儿,36-45,男,20-50,0,2025-02-01
R72908,9787986872774,少儿,26-35,男,20-50,0,2025-02-01
R50038,9787986872774,少儿,26-35,男,20-50,0,2025-02-01
R80597,9783471434558,少儿,36-45,女,20-50,1,2025-02-01
R92132,9783471434558,少儿,26-35,女,20-50,1,2025-02-01
R86269,9782316658760,教辅,18-25,女,20-50,0,2025-02-01
R44159,9789096705466,教辅,26-35,男,20-50,0,2025-02-01
R71879,9789096705466,教辅,26-35,男,20-50,0,2025-02-01
R61445,9789096705466,教辅,46-55,女,20-50,1,2025-02-01
R48141,9789096705466,教辅,26-35,男,20-50,1,2025-02-01
R21869,9789096705466,教辅,26-35,女,20-50,1,2025-02-01
R99674,9784670656272,教辅,26-35,男,50-100,1,2025-02-01
R68487,9784670656272,教辅,26-35,女,50-100,1,2025-02-01
R84162,9784670656272,教辅,26-35,男,50-100,0,2025-02-01
R73373,9784670656272,教辅,36-45,男,50-100,0,2025-02-01
R73916,9784670656272,教辅,18-25,男,50-100,1,2025-02-01
R77880,9789016272046,教辅,26-35,男,20-50,0,2025-02-01
R71561,9789016272046,教辅,36-45,女,20-50,0,2025-02-01
R23529,9786464170805,教辅,36-45,男,20-50,0,2025-02-01
R45847,9786464170805,教辅,26-35,女,20-50,0,2025-02-01
R81349,9786464170805,教辅,18-25,男,20-50,0,2025-02-01
R77720,9780330923271,教辅,26-35,女,20-50,1,2025-02-01
R55224,9784529912419,教辅,26-35,男,20-50,0,2025-02-01
R89195,9784529912419,教辅,18-25,女,20-50,1,2025-02-01
R67658,9784529912419,教辅,36-45,男,20-50,1,2025-02-01
R30625,9783193149190,教辅,46-55,男,20-50,1,2025-02-01
R25509,9783193149190,教辅,26-35,男,20-50,0,2025-02-01
R98503,9788506716572,教辅,36-45,女,20-50,0,2025-02-01
R31134,9788506716572,教辅,36-45,男,20-50,0,2025-02-01
R41938,9788506716572,教辅,46-55,女,20-50,1,2025-02-01
R31119,9788506716572,教辅,18-25,女,20-50,1,2025-02-01
R33597,9786945314737,教辅,36-45,男,20-50,0,2025-02-01
R83872,9786945314737,教辅,36-45,女,20-50,0,2025-02-01
R96736,9786945314737,教辅,18-25,女,20-50,0,2025-02-01
R73133,9781043321819,文学,18-25,男,20-50,1,2025-03-01
R88753,9781043321819,文学,18-25,女,20-50,1,2025-03-01
R33839,9781043321819,文学,36-45,男,20-50,0,2025-03-01
R31983,9781043321819,文学,26-35,女,20-50,0,2025-03-01
R40122,9783890838637,文学,18-25,女,50-100,0,2025-03-01
R99701,9786542351161,文学,26-35,女,20-50,0,2025-03-01
R22622,9786542351161,文学,55+,女,20-50,1,2025-03-01
R88618,9786542351161,文学,36-45,男,20-50,1,2025-03-01
R75972,9786542351161,文学,46-55,女,20-50,0,2025-03-01
R96427,9786542351161,文学,18-25,女,20-50,1,2025-03-01
R78425,9780781618495,文学,26-35,女,50-100,0,2025-03-01
R79444,9780781618495,文学,46-55,男,50-100,0,2025-03-01
R73192,9780781618495,文学,36-45,男,50-100,0,2025-03-01
R87207,9780781618495,文学,46-55,女,50-100,0,2025-03-01
R72539,9783413164752,文学,26-35,女,20-50,0,2025-03-01
R20986,9783413164752,文学,26-35,女,20-50,0,2025-03-01
R63562,9783413164752,文学,46-55,女,20-50,0,2025-03-01
R78126,9781928327648,文学,26-35,女,20-50,1,2025-03-01
R30287,9780564139537,文学,26-35,男,20-50,0,2025-03-01
R84012,9782388496965,文学,36-45,女,20-50,0,2025-03-01
R99208,9782388496965,文学,26-35,男,20-50,0,2025-03-01
R82365,9782388496965,文学,26-35,女,20-50,0,2025-03-01
R58524,9782388496965,文学,36-45,女,20-50,0,2025-03-01
R28096,9780122691669,文学,26-35,女,50-100,0,2025-03-01
R40116,9780122691669,文学,26-35,女,50-100,0,2025-03-01
R31206,9780122691669,文学,36-45,男,50-100,1,2025-03-01
R54359,9780122691669,文学,36-45,男,50-100,0,2025-03-01
R21939,9781845146270,文学,36-45,男,50-100,0,2025-03-01
R39067,9781489325288,社科,26-35,女,50-100,0,2025-03-01
R60374,9781489325288,社科,26-35,女,50-100,0,2025-03-01
R96006,9781489325288,社科,26-35,女,50-100,0,2025-03-01
R93924,9781543039117,社科,36-45,男,50-100,0,2025-03-01
R96099,9781543039117,社科,26-35,男,50-100,0,2025-03-01
R76918,9787824896383,社科,26-35,女,50-100,0,2025-03-01
R32214,9787824896383,社科,46-55,女,50-100,0,2025-03-01
R95854,9787824896383,社科,36-45,女,50-100,1,2025-03-01
R46167,9787824896383,社科,46-55,女,50-100,0,2025-03-01
R61792,9787824896383,社科,36-45,男,50-100,0,2025-03-01
R21818,9788713315098,社科,36-45,女,50-100,0,2025-03-01
R39661,9780310518347,社科,36-45,男,20-50,0,2025-03-01
R62947,9780310518347,社科,18-25,男,20-50,0,2025-03-01
R63363,9780310518347,社科,36-45,女,20-50,0,2025-03-01
R77277,9787631165667,社科,26-35,女,50-100,0,2025-03-01
R83815,9786513338726,社科,26-35,女,20-50,0,2025-03-01
R54520,9786513338726,社科,46-55,男,20-50,0,2025-03-01
R70387,9786513338726,社科,55+,女,20-50,0,2025-03-01
R73172,9786513338726,社科,26-35,女,20-50,1,2025-03-01
R51383,9781781080132,社科,46-55,男,50-100,0,2025-03-01
R80208,9781781080132,社科,36-45,男,50-100,1,2025-03-01
R98302,9786026064746,社科,18-25,男,50-100,0,2025-03-01
R82686,9786026064746,社科,18-25,男,50-100,0,2025-03-01
R56338,9786026064746,社科,26-35,女,50-100,0,2025-03-01
R33957,9786026064746,社科,26-35,男,50-100,0,2025-03-01
R40783,9784309805009,社科,36-45,男,50-100,0,2025-03-01
R37102,9784309805009,社科,46-55,女,50-100,0,2025-03-01
R25712,9788121913619,科技,26-35,男,50-100,0,2025-03-01
R15539,9789985435346,科技,36-45,男,50-100,0,2025-03-01
R51342,9789985435346,科技,18-25,男,50-100,0,2025-03-01
R85303,9789985435346,科技,36-45,男,50-100,0,2025-03-01
R76995,9789985435346,科技,26-35,女,50-100,1,2025-03-01
R85584,9789985435346,科技,26-35,男,50-100,1,2025-03-01
R14268,9781079911838,科技,36-45,男,50-100,0,2025-03-01
R99959,9781079911838,科技,18-25,男,50-100,0,2025-03-01
R25776,9781079911838,科技,46-55,男,50-100,0,2025-03-01
R11103,9781079911838,科技,36-45,女,50-100,1,2025-03-01
R86153,9781079911838,科技,26-35,男,50-100,1,2025-03-01
R41082,9783542784980,科技,26-35,男,50-100,1,2025-03-01
R54970,9783542784980,科技,36-45,男,50-100,0,2025-03-01
R37594,9783542784980,科技,36-45,男,50-100,0,2025-03-01
R69077,9782411824493,科技,26-35,男,50-100,1,2025-03-01
R85483,9782411824493,科技,36-45,男,50-100,0,2025-03-01
R45382,9782411824493,科技,26-35,男,50-100,0,2025-03-01
R71995,9787401640052,科技,26-35,男,50-100,0,2025-03-01
R75483,9787401640052,科技,46-55,男,50-100,1,2025-03-01
R42895,9787868011280,科技,36-45,男,50-100,0,2025-03-01
R62219,9787868011280,科技,26-35,男,50-100,1,2025-03-01
R38241,9787868011280,科技,26-35,男,50-100,0,2025-03-01
R44048,9780450533158,科技,18-25,男,50-100,0,2025-03-01
R43779,9780450533158,科技,18-25,女,50-100,1,2025-03-01
R56018,9780450533158,科技,26-35,男,50-100,0,2025-03-01
R32877,9783226025634,科技,18-25,男,50-100,0,2025-03-01
R52610,9783226025634,科技,18-25,男,50-100,0,2025-03-01
R68580,9783226025634,科技,18-25,男,50-100,0,2025-03-01
R47555,9783226025634,科技,18-25,男,50-100,0,2025-03-01
R31964,9783226025634,科技,18-25,男,50-100,0,2025-03-01
R63054,9780733754330,科技,36-45,男,50-100,0,2025-03-01
R31233,9780733754330,科技,18-25,女,50-100,1,2025-03-01
R95591,9780733754330,科技,26-35,男,50-100,1,2025-03-01
R94494,9780733754330,科技,18-25,男,50-100,0,2025-03-01
R57600,9780733754330,科技,26-35,女,50-100,0,2025-03-01
R13027,9781458685014,少儿,26-35,女,20-50,1,2025-03-01
R42983,9781458685014,少儿,26-35,男,20-50,0,2025-03-01
R23501,9789655698169,少儿,26-35,男,20-50,1,2025-03-01
R72021,9789655698169,少儿,26-35,女,20-50,0,2025-03-01
R62037,9789655698169,少儿,36-45,男,20-50,0,2025-03-01
R23622,9789655698169,少儿,36-45,女,20-50,1,2025-03-01
R47247,9788835615951,少儿,18-25,女,20-50,0,2025-03-01
R79041,9788835615951,少儿,26-35,男,20-50,0,2025-03-01
R72410,9786564823662,少儿,36-45,男,20-50,0,2025-03-01
R45705,9786564823662,少儿,26-35,女,20-50,0,2025-03-01
R80685,9786564823662,少儿,26-35,男,20-50,1,2025-03-01
R50587,9780443699577,少儿,36-45,男,20-50,0,2025-03-01
R39770,9780443699577,少儿,26-35,男,20-50,0,2025-03-01
R57943,9780443699577,少儿,46-55,女,20-50,0,2025-03-01
R11383,9780443699577,少儿,26-35,女,20-50,1,2025-03-01
R27865,9780443699577,少儿,18-25,女,20-50,0,2025-03-01
R72530,9782148951343,少儿,46-55,女,50-100,1,2025-03-01
R48393,9782148951343,少儿,36-45,女,50-100,0,2025-03-01
R81855,9782148951343,少儿,26-35,女,50-100,0,2025-03-01
R83472,9782148951343,少儿,26-35,女,50-100,0,2025-03-01
R44469,9783791769367,少儿,18-25,男,20-50,1,2025-03-01
R77713,9783791769367,少儿,26-35,女,20-50,0,2025-03-01
R45235,9781632870831,少儿,36-45,男,20-50,0,2025-03-01
R33908,9781632870831,少儿,26-35,女,20-50,1,2025-03-01
R69682,9781632870831,少儿,36-45,女,20-50,0,2025-03-01
R91625,9781632870831,少儿,36-45,男,20-50,0,2025-03-01
R29942,9781632870831,少儿,36-45,男,20-50,1,2025-03-01
R45283,9787986872774,少儿,26-35,女,50-100,1,2025-03-01
R11075,9787986872774,少儿,26-35,女,50-100,1,2025-03-01
R74694,9787986872774,少儿,36-45,女,50-100,1,2025-03-01
R14159,9783471434558,少儿,26-35,男,20-50,0,2025-03-01
R29148,9783471434558,少儿,36-45,男,20-50,1,2025-03-01
R19356,9783471434558,少儿,36-45,女,20-50,0,2025-03-01
R42778,9783471434558,少儿,26-35,男,20-50,0,2025-03-01
R60436,9782316658760,教辅,26-35,男,20-50,0,2025-03-01
R14392,9782316658760,教辅,36-45,男,20-50,1,2025-03-01
R71974,9789096705466,教辅,18-25,男,50-100,1,2025-03-01
R52344,9789096705466,教辅,26-35,女,50-100,1,2025-03-01
R36047,9784670656272,教辅,18-25,男,50-100,1,2025-03-01
R97385,9784670656272,教辅,18-25,女,50-100,1,2025-03-01
R92956,9784670656272,教辅,18-25,男,50-100,0,2025-03-01
R41862,9789016272046,教辅,26-35,女,20-50,1,2025-03-01
R72294,9789016272046,教辅,26-35,男,20-50,0,2025-03-01
R21728,9789016272046,教辅,46-55,男,20-50,1,2025-03-01
R99908,9789016272046,教辅,18-25,男,20-50,0,2025-03-01
R80300,9786464170805,教辅,18-25,男,20-50,0,2025-03-01
R40497,9786464170805,教辅,36-45,男,20-50,1,2025-03-01
R35292,9780330923271,教辅,18-25,女,50-100,1,2025-03-01
R27659,9780330923271,教辅,18-25,女,50-100,1,2025-03-01
R67344,9780330923271,教辅,36-45,女,50-100,0,2025-03-01
R74237,9780330923271,教辅,36-45,女,50-100,1,2025-03-01
R46087,9784529912419,教辅,46-55,男,20-50,0,2025-03-01
R82682,9784529912419,教辅,18-25,男,20-50,1,2025-03-01
R68901,9784529912419,教辅,26-35,男,20-50,1,2025-03-01
R58118,9784529912419,教辅,26-35,女,20-50,0,2025-03-01
R12453,9783193149190,教辅,36-45,男,20-50,0,2025-03-01
R91290,9783193149190,教辅,18-25,男,20-50,1,2025-03-01
R82281,9788506716572,教辅,18-25,男,50-100,1,2025-03-01
R63713,9788506716572,教辅,18-25,女,50-100,0,2025-03-01
R78576,9788506716572,教辅,18-25,女,50-100,0,2025-03-01
R27009,9788506716572,教辅,26-35,女,50-100,1,2025-03-01
R14170,9786945314737,教辅,26-35,女,50-100,0,2025-03-01
R43546,9781043321819,文学,46-55,女,50-100,1,2025-03-01
R19289,9781043321819,文学,36-45,男,50-100,1,2025-03-01
R95950,9781043321819,文学,26-35,男,50-100,0,2025-03-01
R20480,9781043321819,文学,26-35,女,50-100,0,2025-03-01
R57307,9781043321819,文学,26-35,女,50-100,0,2025-03-01
R90862,9783890838637,文学,46-55,女,50-100,0,2025-03-01
R38298,9786542351161,文学,46-55,男,50-100,0,2025-03-01
R35312,9780781618495,文学,18-25,女,50-100,0,2025-03-01
R91962,9780781618495,文学,46-55,女,50-100,0,2025-03-01
R56918,9783413164752,文学,18-25,女,50-100,0,2025-03-01
R65977,9783413164752,文学,55+,女,50-100,0,2025-03-01
R33644,9783413164752,文学,36-45,女,50-100,0,2025-03-01
R96184,9783413164752,文学,26-35,男,50-100,1,2025-03-01
R68066,9783413164752,文学,36-45,女,50-100,0,2025-03-01
R93000,9781928327648,文学,26-35,女,20-50,0,2025-03-01
R89745,9781928327648,文学,36-45,女,20-50,1,2025-03-01
R59160,9781928327648,文学,55+,女,20-50,0,2025-03-01
R43303,9781928327648,文学,46-55,女,20-50,0,2025-03-01
R47287,9780564139537,文学,36-45,女,50-100,0,2025-03-01
R38157,9782388496965,文学,26-35,男,20-50,0,2025-03-01
R46170,9782388496965,文学,26-35,女,20-50,0,2025-03-01
R56616,9780122691669,文学,46-55,男,50-100,1,2025-03-01
R86304,9780122691669,文学,26-35,女,50-100,1,2025-03-01
R49361,9780122691669,文学,55+,男,50-100,1,2025-03-01
R38499,9780122691669,文学,26-35,女,50-100,0,2025-03-01
R22499,9781845146270,文学,36-45,女,50-100,0,2025-03-01
R85534,9781845146270,文学,18-25,男,50-100,0,2025-03-01
R53829,9781845146270,文学,26-35,女,50-100,0,2025-03-01
R64594,9781845146270,文学,26-35,男,50-100,0,2025-03-01
R39716,9781845146270,文学,18-25,女,50-100,0,2025-03-01
R17094,9781489325288,社科,36-45,女,50-100,0,2025-03-01
R80769,9781489325288,社科,18-25,女,50-100,0,2025-03-01
R38940,9781489325288,社科,46-55,女,50-100,1,2025-03-01
R61495,9781489325288,社科,18-25,女,50-100,0,2025-03-01
R47982,9781543039117,社科,36-45,女,50-100,0,2025-03-01
R54062,9781543039117,社科,46-55,女,50-100,1,2025-03-01
R16463,9781543039117,社科,18-25,男,50-100,0,2025-03-01
R62235,9781543039117,社科,26-35,男,50-100,0,2025-03-01
R83308,9787824896383,社科,18-25,男,50-100,1,2025-03-01
R84885,9787824896383,社科,18-25,女,50-100,1,2025-03-01
R78714,9787824896383,社科,55+,男,50-100,0,2025-03-01
R66369,9787824896383,社科,36-45,男,50-100,0,2025-03-01
R65514,9788713315098,社科,18-25,男,50-100,0,2025-03-01
R55157,9788713315098,社科,36-45,男,50-100,0,2025-03-01
R49953,9788713315098,社科,26-35,男,50-100,1,2025-03-01
R67961,9788713315098,社科,26-35,男,50-100,0,2025-03-01
R30446,9780310518347,社科,46-55,女,50-100,0,2025-03-01
R24728,9780310518347,社科,26-35,女,50-100,0,2025-03-01
R91396,9780310518347,社科,36-45,男,50-100,0,2025-03-01
R49992,9787631165667,社科,36-45,女,50-100,0,2025-03-01
R36712,9786513338726,社科,26-35,女,50-100,0,2025-03-01
R81932,9786513338726,社科,18-25,女,50-100,0,2025-03-01
R59362,9781781080132,社科,36-45,男,50-100,0,2025-03-01
R47226,9786026064746,社科,36-45,女,50-100,0,2025-03-01
R18729,9784309805009,社科,18-25,女,50-100,0,2025-03-01
R48337,9788121913619,科技,36-45,女,50-100,0,2025-03-01
R23055,9789985435346,科技,36-45,男,50-100,0,2025-03-01
R88263,9789985435346,科技,26-35,男,50-100,0,2025-03-01
R75621,9789985435346,科技,18-25,男,50-100,0,2025-03-01
R12816,9789985435346,科技,18-25,男,50-100,1,2025-03-01
R49967,9789985435346,科技,26-35,男,50-100,1,2025-03-01
R56580,9781079911838,科技,36-45,男,50-100,0,2025-03-01
R75700,9781079911838,科技,26-35,男,50-100,1,2025-03-01
R43774,9781079911838,科技,36-45,男,50-100,0,2025-03-01
R39567,9783542784980,科技,36-45,男,50-100,1,2025-03-01
R96105,9783542784980,科技,18-25,男,50-100,1,2025-03-01
R78251,9783542784980,科技,26-35,男,50-100,0,2025-03-01
R30021,9782411824493,科技,26-35,男,50-100,0,2025-03-01
R89346,9782411824493,科技,36-45,男,50-100,1,2025-03-01
R37100,9782411824493,科技,36-45,女,50-100,0,2025-03-01
R99659,9782411824493,科技,26-35,女,50-100,0,2025-03-01
R50501,9782411824493,科技,26-35,女,50-100,0,2025-03-01
R96013,9787401640052,科技,18-25,男,50-100,0,2025-03-01
R51614,9787401640052,科技,26-35,男,50-100,1,2025-03-01
R13864,9787868011280,科技,26-35,男,50-100,0,2025-03-01
R64269,9787868011280,科技,18-25,男,50-100,0,2025-03-01
R23994,9780450533158,科技,36-45,男,100+,1,2025-03-01
R90213,9780450533158,科技,36-45,女,100+,0,2025-03-01
R13418,9783226025634,科技,36-45,男,50-100,0,2025-03-01
R72469,9783226025634,科技,18-25,女,50-100,1,2025-03-01
R34114,9780733754330,科技,26-35,男,50-100,0,2025-03-01
R28024,9780733754330,科技,26-35,女,50-100,1,2025-03-01
R63554,9780733754330,科技,26-35,男,50-100,0,2025-03-01
R97993,9781458685014,少儿,26-35,男,20-50,0,2025-03-01
R18668,9781458685014,少儿,26-35,女,20-50,1,2025-03-01
R52584,9789655698169,少儿,26-35,女,20-50,0,2025-03-01
R66040,9789655698169,少儿,36-45,男,20-50,0,2025-03-01
R59856,9789655698169,少儿,26-35,女,20-50,0,2025-03-01
R84964,9789655698169,少儿,26-35,女,20-50,0,2025-03-01
R69886,9788835615951,少儿,36-45,男,50-100,0,2025-03-01
R42207,9788835615951,少儿,36-45,女,50-100,0,2025-03-01
R15144,9788835615951,少儿,26-35,女,50-100,0,2025-03-01
R92660,9788835615951,少儿,26-35,女,50-100,0,2025-03-01
R47475,9786564823662,少儿,36-45,男,50-100,0,2025-03-01
R90364,9786564823662,少儿,26-35,男,50-100,0,2025-03-01
R28643,9786564823662,少儿,26-35,女,50-100,0,2025-03-01
R33562,9780443699577,少儿,26-35,女,20-50,0,2025-03-01
R69098,9782148951343,少儿,18-25,男,50-100,1,2025-03-01
R36467,9782148951343,少儿,26-35,男,50-100,0,2025-03-01
R52477,9782148951343,少儿,26-35,女,50-100,0,2025-03-01
R21952,9783791769367,少儿,26-35,女,20-50,1,2025-03-01
R77065,9781632870831,少儿,36-45,男,20-50,0,2025-03-01
R82134,9781632870831,少儿,46-55,女,20-50,0,2025-03-01
R53934,9781632870831,少儿,36-45,男,20-50,0,2025-03-01
R29672,9781632870831,少儿,36-45,女,20-50,1,2025-03-01
R68491,9787986872774,少儿,46-55,男,50-100,1,2025-03-01
R27245,9787986872774,少儿,36-45,女,50-100,0,2025-03-01
R43175,9787986872774,少儿,26-35,男,50-100,1,2025-03-01
R89689,9783471434558,少儿,26-35,女,20-50,0,2025-03-01
R20407,9782316658760,教辅,18-25,男,20-50,0,2025-03-01
R81741,9782316658760,教辅,18-25,女,20-50,1,2025-03-01
R37215,9782316658760,教辅,55+,女,20-50,1,2025-03-01
R95626,9782316658760,教辅,36-45,女,20-50,1,2025-03-01
R49117,9789096705466,教辅,26-35,男,50-100,1,2025-03-01
R24272,9789096705466,教辅,18-25,男,50-100,0,2025-03-01
R98092,9789096705466,教辅,26-35,女,50-100,1,2025-03-01
R87983,9789096705466,教辅,26-35,男,50-100,0,2025-03-01
R69682,9789096705466,教辅,46-55,女,50-100,0,2025-03-01
R52312,9784670656272,教辅,36-45,女,50-100,1,2025-03-01
R18869,9784670656272,教辅,26-35,女,50-100,0,2025-03-01
R18509,9784670656272,教辅,18-25,男,50-100,1,2025-03-01
R78766,9789016272046,教辅,18-25,男,50-100,1,2025-03-01
R17626,9789016272046,教辅,36-45,女,50-100,1,2025-03-01
R92441,9789016272046,教辅,18-25,女,50-100,0,2025-03-01
R89269,9789016272046,教辅,18-25,女,50-100,0,2025-03-01
R44034,9786464170805,教辅,18-25,男,20-50,0,2025-03-01
R56380,9786464170805,教辅,46-55,男,20-50,0,2025-03-01
R75063,9786464170805,教辅,26-35,女,20-50,0,2025-03-01
R40503,9780330923271,教辅,26-35,男,50-100,0,2025-03-01
R10207,9780330923271,教辅,18-25,男,50-100,1,2025-03-01
R25456,9780330923271,教辅,26-35,男,50-100,0,2025-03-01
R90649,9780330923271,教辅,46-55,女,50-100,0,2025-03-01
R53750,9780330923271,教辅,18-25,女,50-100,1,2025-03-01
R46913,9784529912419,教辅,26-35,男,20-50,1,2025-03-01
R49358,9784529912419,教辅,36-45,男,20-50,0,2025-03-01
R54742,9783193149190,教辅,26-35,男,50-100,1,2025-03-01
R13816,9783193149190,教辅,18-25,男,50-100,0,2025-03-01
R54294,9783193149190,教辅,18-25,男,50-100,0,2025-03-01
R73110,9788506716572,教辅,36-45,女,50-100,1,2025-03-01
R80381,9788506716572,教辅,36-45,女,50-100,0,2025-03-01
R78298,9786945314737,教辅,18-25,女,50-100,1,2025-03-01
R37297,9781043321819,文学,18-25,女,20-50,0,2025-03-01
R46760,9783890838637,文学,55+,女,20-50,0,2025-03-01
R59183,9783890838637,文学,55+,女,20-50,0,2025-03-01
R50407,9786542351161,文学,26-35,女,20-50,0,2025-03-01
R75149,9780781618495,文学,36-45,男,20-50,0,2025-03-01
R32939,9783413164752,文学,36-45,女,20-50,1,2025-03-01
R36489,9783413164752,文学,18-25,女,20-50,0,2025-03-01
R13268,9783413164752,文学,46-55,女,20-50,0,2025-03-01
R78632,9781928327648,文学,55+,女,20-50,0,2025-03-01
R22878,9781928327648,文学,55+,女,20-50,0,2025-03-01
R98698,9781928327648,文学,18-25,女,20-50,0,2025-03-01
R14791,9781928327648,文学,26-35,女,20-50,0,2025-03-01
R87894,9780564139537,文学,36-45,男,20-50,0,2025-03-01
R12946,9782388496965,文学,36-45,女,20-50,0,2025-03-01
R37504,9782388496965,文学,26-35,男,20-50,0,2025-03-01
R46261,9782388496965,文学,26-35,女,20-50,0,2025-03-01
R45866,9780122691669,文学,26-35,女,50-100,1,2025-03-01
R83351,9780122691669,文学,26-35,男,50-100,0,2025-03-01
R28554,9781845146270,文学,36-45,男,50-100,0,2025-03-01
R85246,9781845146270,文学,26-35,男,50-100,1,2025-03-01
R90381,9781845146270,文学,36-45,男,50-100,0,2025-03-01
R98538,9781489325288,社科,26-35,男,50-100,1,2025-03-01
R21287,9781489325288,社科,46-55,女,50-100,0,2025-03-01
R88134,9781489325288,社科,36-45,男,50-100,0,2025-03-01
R68436,9781489325288,社科,26-35,女,50-100,0,2025-03-01
R20295,9781543039117,社科,46-55,女,50-100,0,2025-03-01
R71039,9781543039117,社科,36-45,男,50-100,0,2025-03-01
R71377,9781543039117,社科,26-35,女,50-100,1,2025-03-01
R94465,9781543039117,社科,26-35,女,50-100,0,2025-03-01
R40368,9781543039117,社科,26-35,男,50-100,0,2025-03-01
R34032,9787824896383,社科,18-25,男,50-100,0,2025-03-01
R52567,9787824896383,社科,26-35,男,50-100,0,2025-03-01
R72303,9787824896383,社科,26-35,女,50-100,1,2025-03-01
R32387,9787824896383,社科,26-35,女,50-100,0,2025-03-01
R24022,9788713315098,社科,36-45,男,20-50,0,2025-03-01
R49599,9788713315098,社科,36-45,男,20-50,0,2025-03-01
R64190,9788713315098,社科,36-45,男,20-50,0,2025-03-01
R30843,9788713315098,社科,46-55,女,20-50,0,2025-03-01
R66511,9780310518347,社科,46-55,男,20-50,0,2025-03-01
R54852,9780310518347,社科,36-45,男,20-50,0,2025-03-01
R96849,9780310518347,社科,26-35,女,20-50,0,2025-03-01
R85260,9780310518347,社科,26-35,男,20-50,0,2025-03-01
R88128,9780310518347,社科,26-35,男,20-50,0,2025-03-01
R19123,9787631165667,社科,18-25,女,50-100,0,2025-03-01
R88172,9787631165667,社科,36-45,男,50-100,0,2025-03-01
R74788,9787631165667,社科,46-55,女,50-100,0,2025-03-01
R38522,9787631165667,社科,36-45,女,50-100,0,2025-03-01
R69372,9786513338726,社科,36-45,男,20-50,0,2025-03-01
R85750,9786513338726,社科,46-55,男,20-50,0,2025-03-01
R66980,9781781080132,社科,26-35,男,20-50,0,2025-03-01
R21703,9781781080132,社科,18-25,女,20-50,0,2025-03-01
R76902,9781781080132,社科,18-25,男,20-50,0,2025-03-01
R16963,9786026064746,社科,18-25,女,50-100,1,2025-03-01
R57086,9786026064746,社科,26-35,男,50-100,1,2025-03-01
R14087,9786026064746,社科,26-35,男,50-100,0,2025-03-01
R61677,9786026064746,社科,36-45,女,50-100,0,2025-03-01
R63219,9786026064746,社科,26-35,女,50-100,0,2025-03-01
R82800,9784309805009,社科,36-45,女,50-100,0,2025-03-01
R64687,9784309805009,社科,26-35,男,50-100,1,2025-03-01
R94985,9788121913619,科技,26-35,男,50-100,1,2025-03-01
R21097,9789985435346,科技,36-45,男,50-100,1,2025-03-01
R69772,9789985435346,科技,26-35,女,50-100,0,2025-03-01
R76770,9781079911838,科技,36-45,女,50-100,0,2025-03-01
R60425,9781079911838,科技,36-45,男,50-100,0,2025-03-01
R89242,9781079911838,科技,26-35,男,50-100,1,2025-03-01
R41031,9781079911838,科技,26-35,男,50-100,0,2025-03-01
R84468,9783542784980,科技,36-45,男,50-100,0,2025-03-01
R28623,9782411824493,科技,46-55,男,50-100,0,2025-03-01
R78597,9787401640052,科技,18-25,男,50-100,0,2025-03-01
R99662,9787868011280,科技,36-45,女,50-100,0,2025-03-01
R80127,9780450533158,科技,18-25,男,50-100,0,2025-03-01
R77195,9780450533158,科技,26-35,男,50-100,0,2025-03-01
R53452,9780450533158,科技,46-55,女,50-100,0,2025-03-01
R88333,9783226025634,科技,26-35,男,50-100,0,2025-03-01
R85778,9780733754330,科技,26-35,女,50-100,1,2025-03-01
R48240,9780733754330,科技,36-45,女,50-100,0,2025-03-01
R47593,9780733754330,科技,18-25,女,50-100,0,2025-03-01
R20074,9780733754330,科技,26-35,男,50-100,0,2025-03-01
R43679,9781458685014,少儿,36-45,女,20-50,1,2025-03-01
R32886,9781458685014,少儿,36-45,女,20-50,0,2025-03-01
R96396,9781458685014,少儿,26-35,男,20-50,0,2025-03-01
R73559,9789655698169,少儿,26-35,女,20-50,1,2025-03-01
R14337,9789655698169,少儿,36-45,男,20-50,0,2025-03-01
R75004,9788835615951,少儿,36-45,男,20-50,0,2025-03-01
R60222,9788835615951,少儿,36-45,女,20-50,1,2025-03-01
R17120,9786564823662,少儿,26-35,男,20-50,0,2025-03-01
R25203,9786564823662,少儿,36-45,女,20-50,1,2025-03-01
R72420,9786564823662,少儿,26-35,女,20-50,0,2025-03-01
